app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,target,income_to_age_ratio,employment_ratio,age_group,income_group
-42.0,,,23-Apr-20,0.0,5,30.0,0.0,1,,,13.0,3.0,,12.0,,21.0,,1.03741033,56.625,1.0,0.0,0.0,2,1.0,1,0.0,0.0,26-35,very_low
31.0,0.0,1.0,23-Apr-20,0.0,3,21.0,1.0,1,,,11.0,,297.0,4.0,5.0,17.0,,0.244124008,55.71875,,0.0,,4,4.0,0,0.0,0.25,18-25,very_low
-60.0,,,26-Apr-20,0.0,1,19.0,0.0,1,,1450.0,9.0,,25.0,5.0,1.0,7.0,31.0,0.0,86.515625,1.0,0.0,,4,2.0,1,0.0,0.0,18-25,very_low
-79.0,,,26-Apr-20,0.0,1,20.0,2.0,2,,,65.0,1.0,,,,4.0,,0.063900195,52.6953125,,0.0,0.0,2,-1.0,1,0.0,0.6666666666666666,18-25,very_low
-83.0,,,26-Apr-20,260.0,14,19.0,,1,,,,,,10.0,,8.0,,0.0,44.4453125,,0.0,,4,-1.0,1,13.0,,18-25,very_low
-81.0,,,26-Apr-20,0.0,1,24.0,0.0,2,,,22.0,2.0,,,1.0,,,0.094695772,45.8359375,1.0,1.0,0.0,1,-1.0,1,0.0,0.0,18-25,very_low
65.0,1.0,0.0,26-Apr-20,1000.0,5,22.0,,2,,,,,,,,,,0.0,,,0.0,,3,-1.0,2,43.47826086956522,,18-25,very_low
86.0,1.0,0.0,26-Apr-20,1.0,6,22.0,0.0,1,,,17.0,,45.0,3.0,4.0,10.0,,0.174824473,67.03125,,0.0,,4,-1.0,2,0.043478260869565216,0.0,18-25,very_low
-63.0,,,26-Apr-20,1.0,4,19.0,0.0,1,,,,,,,,4.0,,0.0,75.859375,,0.0,,4,-1.0,1,0.05,0.0,18-25,very_low
-57.0,,,26-Apr-20,0.0,14,20.0,0.0,1,,,19.0,1.0,110.0,6.0,1.0,14.0,,0.057799896,47.03125,1.0,0.0,0.0,2,1.0,1,0.0,0.0,18-25,very_low
-88.0,,,26-Apr-20,0.0,12,19.0,0.0,1,,300.0,15.0,,,12.0,3.0,27.0,,0.04827386,77.671875,,0.0,,4,-1.0,1,0.0,0.0,18-25,very_low
80.0,1.0,0.0,26-Apr-20,0.0,1,19.0,1.0,1,,,13.0,1.0,40.0,3.0,2.0,12.0,,0.02842301,58.296875,,0.0,0.0,2,-1.0,2,0.0,0.5,18-25,very_low
-55.0,,,26-Apr-20,1.0,6,20.0,1.0,3,,550.0,6.0,2.0,0.0,15.0,1.0,27.0,0.0,0.113545652,71.828125,1.0,2.0,63.0,2,-1.0,1,0.047619047619047616,0.3333333333333333,18-25,very_low
53.0,0.0,1.0,26-Apr-20,0.0,0,22.0,,3,,,,,,,,,,0.079172628,,,0.0,,4,-1.0,0,0.0,,18-25,very_low
-47.0,,,26-Apr-20,600.0,3,22.0,,1,,,,,,,,,,0.045381153,23.234375,1.0,0.0,,4,0.0,1,26.08695652173913,,18-25,very_low
-90.0,,,26-Apr-20,0.0,12,38.0,4.0,0,,950.0,18.0,1.0,0.0,,0.0,,,0.0,,,0.0,0.0,2,-1.0,1,0.0,0.19047619047619047,36-45,very_low
85.0,0.0,1.0,26-Apr-20,0.0,11,19.0,1.0,1,1.0,200.0,1.0,1.0,,11.0,0.0,7.0,0.0,0.126737971,68.09375,,0.0,0.0,2,-1.0,0,0.0,0.5,18-25,very_low
-89.0,,,26-Apr-20,0.0,14,22.0,1.0,1,,150.0,14.0,1.0,61.0,,,30.0,0.0,0.0,48.7265625,1.0,1.0,513.0,2,-1.0,1,0.0,0.2,18-25,very_low
62.0,1.0,0.0,26-Apr-20,1.0,14,18.0,,1,,,,,,11.0,0.0,23.0,,0.167880833,58.375,,0.0,,4,-1.0,2,0.05263157894736842,,18-25,very_low
-51.0,,,26-Apr-20,0.0,14,20.0,0.0,1,,,13.0,1.0,34.0,12.0,3.0,53.0,,0.0,76.234375,1.0,0.0,0.0,2,0.0,1,0.0,0.0,18-25,very_low
67.0,1.0,0.0,26-Apr-20,140.0,0,17.0,,1,,,,,,,,,,0.0,67.78125,1.0,0.0,,4,1.0,2,7.777777777777778,,18-25,very_low
45.0,1.0,0.0,26-Apr-20,1.0,3,23.0,6.0,2,,1900.0,30.0,1.0,,,0.0,,0.0,0.077688828,68.328125,1.0,0.0,0.0,2,0.0,2,0.041666666666666664,1.0,18-25,very_low
-82.0,,,26-Apr-20,800.0,14,23.0,0.0,1,6.0,1500.0,5.0,13.0,,17.0,,76.0,,0.0,70.03125,5.0,8.0,1454.0,2,0.0,1,33.333333333333336,0.0,18-25,very_low
64.0,1.0,0.0,26-Apr-20,0.0,14,23.0,4.0,2,,,8.0,,0.0,,2.0,,,0.0,59.84375,,0.0,,4,3.0,2,0.0,0.6666666666666666,18-25,very_low
-56.0,,,26-Apr-20,1.0,2,20.0,2.0,1,,,36.0,1.0,,,,,,0.160126752,75.828125,2.0,0.0,0.0,2,0.0,1,0.047619047619047616,0.6666666666666666,18-25,very_low
74.0,1.0,0.0,26-Apr-20,1.0,11,17.0,,2,,,,,,,,,,0.0,30.25390625,,0.0,,4,-1.0,2,0.05555555555555555,,18-25,very_low
-44.0,,,26-Apr-20,800.0,8,20.0,,1,,50.0,15.0,1.0,1.0,11.0,,11.0,,0.0,47.0078125,1.0,1.0,42.0,2,0.0,1,38.095238095238095,,18-25,very_low
61.0,1.0,0.0,26-Apr-20,0.0,7,20.0,2.0,1,1.0,750.0,6.0,1.0,,11.0,,63.0,62.0,0.006573045,63.9296875,1.0,1.0,354.0,2,2.0,2,0.0,0.6666666666666666,18-25,very_low
70.0,0.0,1.0,26-Apr-20,0.0,14,30.0,,1,,950.0,14.0,1.0,,24.0,11.0,37.0,682.0,0.052771707,78.921875,,0.0,0.0,2,-1.0,0,0.0,,26-35,very_low
106.0,1.0,0.0,27-Apr-20,1.0,11,22.0,0.0,1,,1500.0,19.0,1.0,,19.0,6.0,93.0,0.0,0.1978847,49.640625,,0.0,0.0,2,-1.0,2,0.043478260869565216,0.0,18-25,very_low
94.0,0.0,1.0,27-Apr-20,0.0,4,21.0,0.0,2,,,11.0,,635.0,,,,,0.071086343,29.73828125,1.0,0.0,,4,2.0,0,0.0,0.0,18-25,very_low
111.0,0.0,1.0,27-Apr-20,1.0,4,29.0,1.0,0,,100.0,83.0,2.0,,,0.0,,,0.367760315,63.859375,,0.0,0.0,2,-1.0,0,0.03333333333333333,0.08333333333333333,26-35,very_low
-104.0,,,27-Apr-20,0.0,14,19.0,,1,,,,,,9.0,2.0,4.0,,0.124969634,72.109375,,0.0,,4,-1.0,1,0.0,,18-25,very_low
114.0,1.0,0.0,27-Apr-20,0.0,14,18.0,,1,,,,,,12.0,0.0,8.0,,0.0,64.421875,,0.0,,4,-1.0,2,0.0,,18-25,very_low
-118.0,,,27-Apr-20,500.0,14,21.0,,2,,,,,,,,,,0.012171984,52.2890625,,0.0,,4,-1.0,1,22.727272727272727,,18-25,very_low
-120.0,,,27-Apr-20,120.0,2,19.0,,1,,,9.0,2.0,,13.0,,57.0,,0.0,34.359375,1.0,1.0,0.0,0,-1.0,1,6.0,,18-25,very_low
115.0,0.0,1.0,27-Apr-20,0.0,1,23.0,0.0,2,,,,,,,,,,0.103787895,53.7265625,,0.0,,4,-1.0,0,0.0,0.0,18-25,very_low
116.0,0.0,1.0,27-Apr-20,0.0,1,21.0,4.0,1,,950.0,11.0,2.0,,13.0,,44.0,1116.0,0.03876598,47.0859375,2.0,1.0,1320.0,2,1.0,0,0.0,1.0,18-25,very_low
-99.0,,,27-Apr-20,0.0,3,18.0,0.0,1,,100.0,9.0,1.0,0.0,16.0,0.0,28.0,,0.298273993,48.890625,1.0,1.0,6.0,2,3.0,1,0.0,0.0,18-25,very_low
-95.0,,,27-Apr-20,0.0,5,18.0,,1,,,,,,18.0,0.0,10.0,,0.0,86.953125,,0.0,,4,-1.0,1,0.0,,18-25,very_low
-108.0,,,27-Apr-20,400.0,2,18.0,,1,1.0,,1.0,,0.0,4.0,,5.0,,0.095065985,35.953125,1.0,0.0,,4,1.0,1,21.05263157894737,,18-25,very_low
-101.0,,,27-Apr-20,0.0,14,23.0,2.0,1,,,26.0,1.0,,1.0,2.0,6.0,,0.075540484,66.71875,1.0,0.0,0.0,2,1.0,1,0.0,0.3333333333333333,18-25,very_low
96.0,1.0,0.0,27-Apr-20,960.0,12,46.0,,3,1.0,950.0,3.0,3.0,,,0.0,2.0,805.0,0.0,43.2265625,2.0,0.0,0.0,2,1.0,2,20.425531914893618,,46-55,very_low
92.0,1.0,0.0,27-Apr-20,1.0,11,22.0,4.0,2,,350.0,16.0,,,,2.0,,0.0,0.087539523,48.28125,,0.0,,4,-1.0,2,0.043478260869565216,0.8,18-25,very_low
91.0,0.0,1.0,27-Apr-20,0.0,2,19.0,1.0,2,,,,,,,,,,0.254084923,71.3125,,0.0,,4,-1.0,0,0.0,0.5,18-25,very_low
-102.0,,,27-Apr-20,0.0,5,22.0,5.0,1,2.0,3900.0,3.0,1.0,0.0,12.0,1.0,1.0,0.0,0.056773714,62.484375,3.0,0.0,0.0,2,1.0,1,0.0,1.0,18-25,very_low
110.0,1.0,0.0,27-Apr-20,0.0,14,18.0,,1,,,,,,26.0,,4.0,,0.027053592,50.9765625,,0.0,,4,-1.0,2,0.0,,18-25,very_low
-93.0,,,27-Apr-20,0.0,1,20.0,0.0,2,2.0,,3.0,3.0,237.0,,,,,0.615962487,45.1015625,3.0,3.0,363.0,2,0.0,1,0.0,0.0,18-25,very_low
-113.0,,,27-Apr-20,0.0,14,16.0,0.0,2,,,,,,,,,,0.274550767,60.7109375,,0.0,,4,-1.0,1,0.0,-0.0,18-25,very_low
117.0,0.0,1.0,27-Apr-20,0.0,14,28.0,1.0,2,,,,,,,,,,0.338373236,65.84375,1.0,0.0,,4,1.0,0,0.0,0.09090909090909091,26-35,very_low
119.0,1.0,0.0,27-Apr-20,1.0,11,19.0,1.0,1,,500.0,10.0,2.0,44.0,9.0,0.0,22.0,0.0,0.099442833,68.78125,2.0,2.0,1150.0,2,0.0,2,0.05,0.5,18-25,very_low
-144.0,,,28-Apr-20,0.0,1,20.0,,2,,,,,,,,,,0.0,67.53125,,0.0,,4,-1.0,1,0.0,,18-25,very_low
147.0,1.0,0.0,28-Apr-20,0.0,14,20.0,1.0,1,,,,,,2.0,,15.0,,0.0,9.8125,1.0,0.0,,4,1.0,2,0.0,0.3333333333333333,18-25,very_low
-154.0,,,28-Apr-20,1.0,13,34.0,0.0,2,,4150.0,13.0,1.0,,,7.0,,,0.142291978,21.40234375,,0.0,0.0,2,-1.0,1,0.02857142857142857,0.0,26-35,very_low
-138.0,,,28-Apr-20,500.0,14,18.0,,1,1.0,,5.0,,40.0,,,13.0,,0.10262367,26.87109375,1.0,0.0,,4,2.0,1,26.31578947368421,,18-25,very_low
128.0,1.0,0.0,28-Apr-20,0.0,0,22.0,,3,,,,,,,,,,0.096788399,,,0.0,,4,-1.0,2,0.0,,18-25,very_low
129.0,0.0,1.0,28-Apr-20,0.0,14,19.0,1.0,1,,,,,,16.0,26.0,4.0,,0.0,17.1328125,,0.0,,4,-1.0,0,0.0,0.5,18-25,very_low
