app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date
53,0,1,26-Apr-20,0,FT,22,.,,.,.,.,.,.,.,.,.,.,0.079172628,.,.,0,.,5,-1,16/02/2035
-47,.,.,26-Apr-20,600,SC,22,.,P,.,.,.,.,.,.,.,.,.,0.045381153,23.234375,1,0,.,5,0,16/02/2035
-90,.,.,26-Apr-20,0,SM,38,4,H,.,950,18,1,0,.,0,.,.,0,.,.,0,0,3,-1,16/02/2035
85,0,1,26-Apr-20,0,SL,19,1,P,1,200,1,1,.,11,0,7,0,0.126737971,68.09375,.,0,0,3,-1,16/02/2035
-89,.,.,26-Apr-20,0,SO,22,1,P,.,150,14,1,61,.,.,30,0,0,48.7265625,1,1,513,3,-1,16/02/2035
62,1,0,26-Apr-20,1,SO,18,.,P,.,.,.,.,.,11,0,23,.,0.167880833,58.375,.,0,.,5,-1,16/02/2035
-51,.,.,26-Apr-20,0,SO,20,0,P,.,.,13,1,34,12,3,53,.,0,76.234375,1,0,0,3,0,16/02/2035
67,1,0,26-Apr-20,140,FT,17,.,P,.,.,.,.,.,.,.,.,.,0,67.78125,1,0,.,5,1,16/02/2035
45,1,0,26-Apr-20,1,SC,23,6,R,.,1900,30,1,.,.,0,.,0,0.077688828,68.328125,1,0,0,3,0,16/02/2035
-82,.,.,26-Apr-20,800,SO,23,0,P,6,1500,5,13,.,17,.,76,.,0,70.03125,5,8,1454,3,0,16/02/2035
64,1,0,26-Apr-20,0,SO,23,4,R,.,.,8,.,0,.,2,.,.,0,59.84375,.,0,.,5,3,16/02/2035
-56,.,.,26-Apr-20,1,SB,20,2,P,.,.,36,1,.,.,.,.,.,0.160126752,75.828125,2,0,0,3,0,16/02/2035
74,1,0,26-Apr-20,1,SL,17,.,R,.,.,.,.,.,.,.,.,.,0,30.25390625,.,0,.,5,-1,16/02/2035
-44,.,.,26-Apr-20,800,SH,20,.,P,.,50,15,1,1,11,.,11,.,0,47.0078125,1,1,42,3,0,16/02/2035
61,1,0,26-Apr-20,0,SG,20,2,P,1,750,6,1,.,11,.,63,62,0.006573045,63.9296875,1,1,354,3,2,16/02/2035
70,0,1,26-Apr-20,0,SO,30,.,P,.,950,14,1,.,24,11,37,682,0.052771707,78.921875,.,0,0,3,-1,16/02/2035
106,1,0,27-Apr-20,1,SL,22,0,P,.,1500,19,1,.,19,6,93,0,0.1978847,49.640625,.,0,0,3,-1,17/02/2035
94,0,1,27-Apr-20,0,SD,21,0,R,.,.,11,.,635,.,.,.,.,0.071086343,29.73828125,1,0,.,5,2,17/02/2035
111,0,1,27-Apr-20,1,SD,29,1,H,.,100,83,2,.,.,0,.,.,0.367760315,63.859375,.,0,0,3,-1,17/02/2035
-104,.,.,27-Apr-20,0,SO,19,.,P,.,.,.,.,.,9,2,4,.,0.124969634,72.109375,.,0,.,5,-1,17/02/2035
114,1,0,27-Apr-20,0,SO,18,.,P,.,.,.,.,.,12,0,8,.,0,64.421875,.,0,.,5,-1,17/02/2035
-118,.,.,27-Apr-20,500,SO,21,.,R,.,.,.,.,.,.,.,.,.,0.012171984,52.2890625,.,0,.,5,-1,17/02/2035
-120,.,.,27-Apr-20,120,SB,19,.,P,.,.,9,2,.,13,.,57,.,0,34.359375,1,1,0,1,-1,17/02/2035
115,0,1,27-Apr-20,0,SA,23,0,R,.,.,.,.,.,.,.,.,.,0.103787895,53.7265625,.,0,.,5,-1,17/02/2035
116,0,1,27-Apr-20,0,SA,21,4,P,.,950,11,2,.,13,.,44,1116,0.03876598,47.0859375,2,1,1320,3,1,17/02/2035
-99,.,.,27-Apr-20,0,SC,18,0,P,.,100,9,1,0,16,0,28,.,0.298273993,48.890625,1,1,6,3,3,17/02/2035
-95,.,.,27-Apr-20,0,SE,18,.,P,.,.,.,.,.,18,0,10,.,0,86.953125,.,0,.,5,-1,17/02/2035
-108,.,.,27-Apr-20,400,SB,18,.,P,1,.,1,.,0,4,.,5,.,0.095065985,35.953125,1,0,.,5,1,17/02/2035
-101,.,.,27-Apr-20,0,SO,23,2,P,.,.,26,1,.,1,2,6,.,0.075540484,66.71875,1,0,0,3,1,17/02/2035
96,1,0,27-Apr-20,960,SM,46,.,,1,950,3,3,.,.,0,2,805,0,43.2265625,2,0,0,3,1,17/02/2035
92,1,0,27-Apr-20,1,SL,22,4,R,.,350,16,.,.,.,2,.,0,0.087539523,48.28125,.,0,.,5,-1,17/02/2035
91,0,1,27-Apr-20,0,SB,19,1,R,.,.,.,.,.,.,.,.,.,0.254084923,71.3125,.,0,.,5,-1,17/02/2035
-102,.,.,27-Apr-20,0,SE,22,5,P,2,3900,3,1,0,12,1,1,0,0.056773714,62.484375,3,0,0,3,1,17/02/2035
110,1,0,27-Apr-20,0,SO,18,.,P,.,.,.,.,.,26,.,4,.,0.027053592,50.9765625,.,0,.,5,-1,17/02/2035
-93,.,.,27-Apr-20,0,SA,20,0,R,2,.,3,3,237,.,.,.,.,0.615962487,45.1015625,3,3,363,3,0,17/02/2035
-113,.,.,27-Apr-20,0,SO,16,0,R,.,.,.,.,.,.,.,.,.,0.274550767,60.7109375,.,0,.,5,-1,17/02/2035
117,0,1,27-Apr-20,0,SO,28,1,R,.,.,.,.,.,.,.,.,.,0.338373236,65.84375,1,0,.,5,1,17/02/2035
119,1,0,27-Apr-20,1,SL,19,1,P,.,500,10,2,44,9,0,22,0,0.099442833,68.78125,2,2,1150,3,0,17/02/2035
-144,.,.,28-Apr-20,0,SA,20,.,R,.,.,.,.,.,.,.,.,.,0,67.53125,.,0,.,5,-1,18/02/2035
147,1,0,28-Apr-20,0,SO,20,1,P,.,.,.,.,.,2,.,15,.,0,9.8125,1,0,.,5,1,18/02/2035
-154,.,.,28-Apr-20,1,SN,34,0,R,.,4150,13,1,.,.,7,.,.,0.142291978,21.40234375,.,0,0,3,-1,18/02/2035
