app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date 
4080,1,0,22-Jun-20,0,SN,18,1,P,.,.,42,1,.,14,0,16,.,0.071137853,65.53125,2,1,0,3,0,12/04/2035
3932,1,0,22-Jun-20,1,SO,19,1,P,.,.,15,1,.,23,1,15,.,0,71.3125,.,1,0,3,-1,12/04/2035
4128,1,0,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,4,2,15,.,0.14744813,68.875,.,0,.,5,-1,12/04/2035
3983,1,0,22-Jun-20,0,SD,18,1,P,.,.,.,.,.,19,0,13,.,0.110978895,71.78125,.,0,.,5,-1,12/04/2035
3990,1,0,22-Jun-20,0,SL,18,1,P,.,.,.,.,.,15,0,14,.,0,92.09375,.,0,.,5,-1,12/04/2035
-3914,.,.,22-Jun-20,1,SO,19,1,P,.,.,13,3,15,5,2,14,.,0.113471695,65.921875,.,1,0,3,2,12/04/2035
-3923,.,.,22-Jun-20,460,SO,18,1,P,2,.,2,1,285,0,0,11,.,0,68.75,3,1,79,3,1,12/04/2035
4094,1,0,22-Jun-20,0,SC,18,1,P,1,.,1,1,0,12,0,12,.,0.12064098,60.5078125,.,1,0,3,-1,12/04/2035
3928,1,0,22-Jun-20,0,SH,18,1,P,.,.,18,1,.,3,0,11,.,0.06865185,.,.,1,0,3,-1,12/04/2035
3934,1,0,22-Jun-20,0,SE,18,.,P,2,350,4,1,.,11,.,12,.,0,58.0859375,1,1,124,3,1,12/04/2035
4023,1,0,22-Jun-20,0,SO,18,0,P,.,.,46,1,.,1,0,10,.,0.067439811,79.140625,.,1,0,3,-1,12/04/2035
-4034,.,.,22-Jun-20,0,SO,19,1,P,1,500,2,.,.,14,2,10,0,0,67.671875,.,0,.,5,-1,12/04/2035
-3907,.,.,22-Jun-20,0,SO,19,1,P,.,.,31,1,.,6,3,10,.,0,83.125,.,1,0,3,-1,12/04/2035
-4150,.,.,22-Jun-20,0,SF,19,0,P,2,700,2,.,0,2,1,13,0,0.113571889,52.3671875,1,0,.,5,1,12/04/2035
3875,1,0,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,5,.,9,.,0,68.359375,.,0,.,5,-1,12/04/2035
-3936,.,.,22-Jun-20,0,SO,22,1,P,.,1000,13,2,94,7,3,40,0,0.135161185,64.90625,.,1,0,3,-1,12/04/2035
4003,1,0,22-Jun-20,1,SO,18,1,P,.,.,16,1,.,7,0,9,.,0,71.328125,.,1,0,3,-1,12/04/2035
4103,1,0,22-Jun-20,1,SO,18,1,P,.,.,14,1,.,5,0,8,.,0.658877937,19.55859375,.,1,0,3,-1,12/04/2035
-4142,.,.,22-Jun-20,0,SA,17,1,P,.,.,.,.,.,20,.,8,.,0,58.2265625,.,0,.,5,-1,12/04/2035
4020,1,0,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,.,.,9,.,0.0881734,71.046875,.,0,.,5,-1,12/04/2035
-4049,.,.,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,21,0,6,.,0.003434949,61.109375,1,0,.,5,0,12/04/2035
4079,1,0,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,6,0,9,.,0.057498357,84.484375,.,0,.,5,-1,12/04/2035
-4153,.,.,22-Jun-20,0,SA,18,1,P,.,.,.,.,.,11,1,7,.,0.010695061,59.03125,.,0,.,5,-1,12/04/2035
4118,1,0,22-Jun-20,1,SO,18,0,P,1,.,3,2,.,.,.,7,.,0.133872242,79.140625,.,1,0,3,-1,12/04/2035
4005,1,0,22-Jun-20,0,SC,18,1,P,.,.,.,.,.,0,0,7,.,0,.,.,0,.,5,-1,12/04/2035
4011,1,0,22-Jun-20,200,SO,20,.,P,1,100,3,3,100,6,2,6,124,0.088844362,63.921875,.,1,0,3,4,12/04/2035
-3935,.,.,22-Jun-20,0,SA,24,1,P,.,.,47,3,.,6,6,6,.,0.043487247,83.1875,1,1,0,3,0,12/04/2035
4132,1,0,22-Jun-20,0,SK,19,0,P,.,.,12,2,.,12,1,12,.,0.163489757,76.546875,1,2,0,3,0,12/04/2035
4086,1,0,22-Jun-20,1,SK,18,0,P,.,.,35,1,.,4,0,9,.,0,20.3359375,.,1,0,3,-1,12/04/2035
4017,1,0,22-Jun-20,0,SO,18,1,P,1,150,2,.,.,3,0,7,32,0,79.25,1,0,.,5,1,12/04/2035
-3871,.,.,22-Jun-20,0,SE,22,1,P,.,.,21,1,.,8,.,5,.,0.68659902,21.96484375,1,0,.,5,0,12/04/2035
3885,1,0,22-Jun-20,0,SE,18,0,P,.,.,17,.,.,20,0,11,.,0,65.78125,.,0,.,5,-1,12/04/2035
4096,1,0,22-Jun-20,0,SM,18,1,P,.,50,10,1,.,20,1,6,.,0.089436025,67.5625,.,1,0,3,-1,12/04/2035
4050,1,0,22-Jun-20,1,SB,17,1,P,.,.,31,.,54,3,0,6,.,0,.,.,0,.,5,-1,12/04/2035
3890,1,0,22-Jun-20,0,SK,18,1,P,.,.,.,.,.,7,2,5,.,0.133496072,57.703125,.,0,.,5,-1,12/04/2035
4045,1,0,22-Jun-20,1,SC,18,1,P,.,.,.,.,.,19,0,10,.,0.074383397,73.109375,.,0,.,5,-1,12/04/2035
3909,1,0,22-Jun-20,1,SL,21,4,P,.,500,21,1,34,14,4,8,.,0.017056516,60.3671875,.,1,0,3,-1,12/04/2035
4051,1,0,22-Jun-20,1,SC,18,0,P,.,.,.,.,.,15,0,9,.,0.056961104,63.3046875,.,0,.,5,-1,12/04/2035
-4090,.,.,22-Jun-20,680,SO,19,2,P,.,.,8,3,29,2,2,5,.,0.286151007,67.40625,2,1,0,3,1,12/04/2035
3976,1,0,22-Jun-20,800,SB,20,1,P,.,.,8,1,.,7,3,40,.,0,53.0234375,.,1,0,3,3,12/04/2035
4041,1,0,22-Jun-20,1,SO,18,1,P,.,.,29,1,.,.,.,5,.,0.080798761,60.890625,.,1,0,3,-1,12/04/2035
3940,1,0,22-Jun-20,0,SA,19,1,P,.,100,15,1,.,11,0,13,.,0.055436811,61.3125,.,1,0,3,-1,12/04/2035
4013,1,0,22-Jun-20,0,SC,18,1,P,.,.,.,.,.,12,0,5,.,0.036881115,69.625,1,0,.,5,1,12/04/2035
3992,1,0,22-Jun-20,1,SG,29,1,P,.,.,30,.,20,7,10,3,.,0.169749917,60.390625,1,0,.,5,0,12/04/2035
3951,1,0,22-Jun-20,1,SO,20,1,P,.,.,6,3,1,.,.,10,.,0,61.2265625,1,2,33,1,-1,12/04/2035
-4160,.,.,22-Jun-20,0,SL,18,1,P,.,.,.,.,.,.,.,2,.,0.735732349,39.921875,.,0,.,5,-1,12/04/2035
-3894,.,.,22-Jun-20,0,SA,19,1,P,.,.,.,.,.,23,0,15,.,0.122048418,37.5,.,0,.,5,-1,12/04/2035
-3904,.,.,22-Jun-20,0,SA,18,1,P,.,.,23,1,.,.,0,4,.,0,56.2421875,.,1,0,3,-1,12/04/2035
4071,1,0,22-Jun-20,0,SO,19,1,P,.,.,17,2,.,16,0,14,.,0,66.125,1,1,0,3,-1,12/04/2035
3944,1,0,22-Jun-20,0,SG,18,1,P,.,.,.,.,.,10,0,14,.,0,61.546875,.,0,.,5,-1,12/04/2035
3949,1,0,22-Jun-20,0,SO,18,1,P,.,.,7,1,.,11,0,2,.,0,79.34375,.,1,0,3,-1,12/04/2035
4100,1,0,22-Jun-20,0,SO,19,1,P,1,250,4,1,40,10,3,2,0,0.150800798,52.375,1,1,0,3,2,12/04/2035
4001,1,0,22-Jun-20,0,SF,19,2,R,.,.,.,.,.,.,.,2,.,0.000769742,85.1875,1,0,.,5,1,12/04/2035
4136,1,0,22-Jun-20,0,SB,18,0,P,1,.,2,1,0,17,1,16,.,0.102190146,78.703125,1,1,0,3,1,12/04/2035
3883,1,0,22-Jun-20,0,SC,18,1,P,1,250,2,2,.,3,0,2,.,0,66.140625,1,1,0,3,0,12/04/2035
3926,1,0,22-Jun-20,0,SO,18,1,P,.,.,10,1,32,1,0,1,.,0.377832712,63.1796875,.,1,0,2,4,12/04/2035
4107,1,0,22-Jun-20,1,SO,19,1,P,2,1100,5,1,.,.,.,2,62,0,82.015625,2,1,0,3,2,12/04/2035
-4137,.,.,22-Jun-20,0,SB,18,1,P,.,.,16,.,.,10,0,1,.,0,62.3515625,.,0,.,5,4,12/04/2035
3994,1,0,22-Jun-20,1,SC,17,1,P,.,.,.,.,.,19,0,2,.,0,41.9609375,.,0,.,5,-1,12/04/2035
3942,1,0,22-Jun-20,1,SK,18,0,P,.,.,47,1,.,2,.,12,.,0.048364717,64.734375,.,1,0,3,-1,12/04/2035
3979,1,0,22-Jun-20,0,SK,19,1,P,.,.,30,1,.,.,11,1,.,0,86.015625,1,1,0,3,1,12/04/2035
4110,1,0,22-Jun-20,1,SO,18,1,P,.,.,.,.,.,0,1,.,.,0.319155614,62.203125,.,0,.,5,-1,12/04/2035
3952,1,0,22-Jun-20,0,SB,21,1,P,.,.,.,.,.,.,4,.,.,0.124671805,79.546875,.,0,.,5,-1,12/04/2035
-3971,.,.,22-Jun-20,0,SL,22,2,P,.,850,10,2,40,.,2,.,713,0.110182656,61.265625,1,1,406,3,0,12/04/2035
3972,1,0,22-Jun-20,0,SA,20,1,P,.,.,37,1,.,.,2,.,.,0,46.1796875,.,1,0,3,-1,12/04/2035
4111,1,0,22-Jun-20,0,SE,18,0,P,.,.,7,1,.,.,1,.,.,0.106939202,37.8984375,.,1,0,3,3,12/04/2035
4069,1,0,22-Jun-20,0,SF,18,0,,1,.,4,1,24,.,0,.,.,0.06920996,45.796875,1,1,0,3,0,12/04/2035
-3917,.,.,22-Jun-20,0,SA,20,1,R,1,650,4,1,.,.,0,.,.,0.286498717,52.09375,1,1,261,3,4,12/04/2035
-3953,.,.,22-Jun-20,0,SA,20,1,P,1,.,3,1,35,.,.,.,.,0.591532139,51.375,.,1,0,3,-1,12/04/2035
-3946,.,.,22-Jun-20,200,SM,20,.,R,.,.,.,.,.,.,.,.,.,0.072855859,53.65625,1,0,.,5,1,12/04/2035
-4157,.,.,22-Jun-20,0,SB,32,1,,.,.,.,.,.,.,.,.,.,0.055783891,29.12890625,.,0,.,5,-1,12/04/2035
-4084,.,.,22-Jun-20,0,SH,19,1,P,.,.,27,2,.,1,0,16,.,0,50.2421875,1,1,0,3,-1,12/04/2035
3929,1,0,22-Jun-20,0,SO,19,1,P,.,350,6,1,.,6,1,17,0,0.008938283,55.625,.,1,0,3,-1,12/04/2035
4088,1,0,22-Jun-20,160,SO,18,1,P,.,.,.,.,.,.,.,.,.,0.397197413,94.09375,.,0,.,5,-1,12/04/2035
4037,1,0,22-Jun-20,0,SB,18,1,P,.,.,.,.,.,1,.,.,.,0,31.7421875,.,0,.,5,3,12/04/2035
4030,1,0,22-Jun-20,16,SN,18,1,P,.,.,.,.,.,.,.,.,.,0,.,.,0,.,4,-1,12/04/2035
3970,1,0,22-Jun-20,0,SE,18,0,P,.,.,.,.,.,.,.,.,.,0.140231574,59.171875,.,0,.,5,-1,12/04/2035
-4144,.,.,22-Jun-20,500,SF,19,1,P,1,.,5,3,.,27,.,36,.,0.003590027,74.640625,1,3,9,3,2,12/04/2035
4002,1,0,22-Jun-20,0,SE,18,1,P,.,.,10,1,.,16,0,32,.,0.096597994,81.9375,.,1,0,3,4,12/04/2035
-4161,.,.,22-Jun-20,0,SM,18,0,P,1,250,2,.,.,18,0,18,.,0,63.4765625,1,0,.,5,1,12/04/2035
3968,1,0,22-Jun-20,0,SL,24,99999,R,.,.,.,.,.,.,.,.,.,0,72.859375,.,0,.,5,-1,12/04/2035
3886,1,0,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,.,.,.,.,0.334422255,17.03515625,.,0,.,5,-1,12/04/2035
4046,0,1,22-Jun-20,1,SO,18,1,P,.,.,.,.,.,5,0,58,.,0.125668907,69.140625,.,0,.,5,-1,12/04/2035
4048,0,1,22-Jun-20,1,SC,18,1,P,.,.,.,.,.,5,0,54,.,0.064114208,67.25,.,0,.,5,-1,12/04/2035
3879,1,0,22-Jun-20,0,SB,19,1,P,.,.,27,1,.,6,2,21,.,0,45.1640625,1,1,0,3,0,12/04/2035
3925,1,0,22-Jun-20,0,SD,19,1,P,1,.,3,2,5,15,0,26,.,0,71.390625,1,1,0,3,-1,12/04/2035
3906,1,0,22-Jun-20,0,SC,18,1,P,.,.,25,1,.,16,0,26,.,0.199828716,62.0703125,.,1,0,3,-1,12/04/2035
4007,1,0,22-Jun-20,0,SE,18,1,H,1,.,4,2,.,9,.,21,.,0,37.296875,.,1,0,3,-1,12/04/2035
3931,1,0,22-Jun-20,0,SC,18,1,P,.,.,9,.,84,7,.,30,.,0.072688326,75.046875,.,0,.,5,3,12/04/2035
-3881,.,.,22-Jun-20,0,SO,19,1,P,.,.,42,1,.,22,1,22,.,0.028173604,72.421875,.,1,0,3,-1,12/04/2035
4130,0,1,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,11,0,47,.,0.08642676,56.28125,.,0,.,5,-1,12/04/2035
4056,0,1,22-Jun-20,0,SE,18,1,P,.,.,.,.,.,2,.,41,.,0.225449447,59.53125,.,0,.,5,-1,12/04/2035
4081,1,0,22-Jun-20,120,SO,18,.,P,.,.,46,1,.,18,0,24,.,0.019313099,64.25,.,1,0,3,-1,12/04/2035
3874,0,1,22-Jun-20,0,SH,19,0,P,.,.,.,.,.,20,1,40,.,0.077988196,57.1015625,.,0,.,5,-1,12/04/2035
3882,1,0,22-Jun-20,0,FT,23,.,,.,.,.,.,.,.,.,.,.,0.065508949,75.640625,.,0,.,5,-1,12/04/2035
4102,0,1,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,7,.,36,.,0.068972691,61.8828125,1,0,.,5,1,12/04/2035
4106,0,1,22-Jun-20,0,SO,20,1,P,2,150,5,2,1,11,10,25,60,0.007531919,45.5,1,2,0,2,2,12/04/2035
3938,1,0,22-Jun-20,1,SO,26,.,,.,.,.,.,.,.,.,.,.,0,23.4140625,.,0,.,5,-1,12/04/2035
3897,0,1,22-Jun-20,0,SD,19,1,P,.,.,38,1,.,18,1,20,.,0.080464858,77.75,1,1,7,3,-1,12/04/2035
-3910,.,.,22-Jun-20,240,SN,19,1,R,.,.,.,.,.,.,.,.,.,0.394699977,44.5078125,.,0,.,5,-1,12/04/2035
-3984,.,.,22-Jun-20,0,SK,19,1,R,.,.,.,.,.,.,0,.,.,0.506436689,49.078125,.,0,.,5,4,12/04/2035
3978,0,1,22-Jun-20,1,SO,19,1,P,.,.,48,1,.,16,0,18,.,0.042601695,59.6328125,.,1,0,3,-1,12/04/2035
3945,0,1,22-Jun-20,0,SO,18,1,P,.,.,27,1,.,12,.,18,.,0.064552471,48.7421875,.,1,0,3,-1,12/04/2035
4131,0,1,22-Jun-20,0,SO,20,1,P,.,.,14,1,.,.,.,17,.,0,54.5546875,1,1,0,3,1,12/04/2035
3873,0,1,22-Jun-20,1,SB,19,1,P,.,350,15,1,.,6,2,16,218,0,88.15625,1,1,0,3,0,12/04/2035
3896,0,1,22-Jun-20,0,SO,18,1,P,1,.,5,1,40,5,0,17,.,0.192141104,63.609375,.,1,0,3,-1,12/04/2035
3989,1,0,22-Jun-20,1,SO,19,1,P,.,.,.,.,.,5,2,.,.,0,36.0859375,.,0,.,5,-1,12/04/2035
-4087,.,.,22-Jun-20,0,SC,18,0,P,.,.,.,.,.,.,.,.,.,0,.,.,0,.,4,-1,12/04/2035
4016,0,1,22-Jun-20,0,SF,18,1,P,.,.,8,1,.,13,0,11,.,0.27315194,61.5546875,.,1,0,3,-1,12/04/2035
3924,0,1,22-Jun-20,0,SC,18,1,P,2,500,3,1,0,4,0,12,526,0.189126893,39.2109375,2,1,0,3,1,12/04/2035
3878,0,1,22-Jun-20,0,SH,23,1,P,.,1050,29,1,.,16,5,10,278,0.03390061,70.5,1,1,586,3,-1,12/04/2035
3986,0,1,22-Jun-20,0,SM,22,1,P,1,.,2,2,56,8,5,58,.,0.096167484,92.65625,1,1,0,3,1,12/04/2035
3955,0,1,22-Jun-20,0,SD,18,1,P,.,.,32,1,.,5,.,7,.,0.125049867,55.3046875,.,1,0,3,-1,12/04/2035
4105,1,0,22-Jun-20,2,SO,23,.,,.,.,.,.,.,.,.,.,.,0,.,.,0,.,4,-1,12/04/2035
4053,1,0,22-Jun-20,0,SE,18,1,P,.,.,.,.,.,.,.,.,.,0.032183574,80.515625,1,0,.,5,0,12/04/2035
3950,0,1,22-Jun-20,0,SO,18,1,P,.,.,27,1,.,10,0,8,.,0,98.578125,.,1,0,3,-1,12/04/2035
4133,0,1,22-Jun-20,1,SL,20,1,P,.,.,8,2,.,2,2,9,.,0,.,1,2,0,3,3,12/04/2035
4028,0,1,22-Jun-20,1,SL,19,1,P,.,.,14,1,125,0,1,8,.,0.122010207,51.9765625,.,1,0,3,3,12/04/2035
3901,0,1,22-Jun-20,1,SO,19,1,P,1,.,5,1,0,.,.,6,.,0.072317638,56.0234375,1,1,0,3,2,12/04/2035
-4152,.,.,22-Jun-20,0,SN,34,1,R,1,.,6,1,100,.,2,.,.,0.197477599,51.1796875,2,1,0,3,1,12/04/2035
4042,0,1,22-Jun-20,0,SH,19,1,P,.,.,18,.,.,3,1,6,.,0.30365057,30.44140625,.,0,.,5,-1,12/04/2035
4108,0,1,22-Jun-20,0,SF,19,1,P,.,.,.,.,.,.,.,5,.,0.648726555,30.40234375,4,0,.,5,1,12/04/2035
-4043,.,.,22-Jun-20,0,SO,18,1,P,.,.,62,1,.,.,0,.,.,0,89.65625,.,1,0,3,-1,12/04/2035
3975,0,1,22-Jun-20,1,SO,19,2,P,.,1900,8,2,.,1,2,3,496,0.224513104,39.7265625,2,2,2860,3,1,12/04/2035
-3930,.,.,22-Jun-20,0,SF,20,1,,.,.,11,.,.,.,2,.,.,0.022632329,37.265625,1,0,.,5,1,12/04/2035
-3939,.,.,22-Jun-20,0,SO,28,1,R,.,4150,13,1,0,.,0,.,2294,0,54.34375,1,1,942,3,3,12/04/2035
4083,0,1,22-Jun-20,0,SA,22,1,P,.,.,20,2,.,.,3,3,.,0.101535086,38.65625,.,1,0,2,-1,12/04/2035
4122,0,1,22-Jun-20,400,SO,22,4,P,.,.,21,2,.,.,.,1,.,0.037383799,.,1,1,1326,3,-1,12/04/2035
3988,1,0,22-Jun-20,0,SO,18,1,P,.,.,10,1,.,19,0,50,.,0.193062252,56.0234375,.,1,0,3,4,12/04/2035
3880,1,0,22-Jun-20,0,SE,18,1,P,.,.,66,1,.,20,0,69,.,0,90.28125,.,1,0,3,-1,12/04/2035
4074,0,1,22-Jun-20,0,SA,18,1,P,.,200,11,1,.,.,0,1,91,0.112072265,41.65625,2,1,0,3,0,12/04/2035
4155,0,1,22-Jun-20,0,SC,21,1,P,1,350,4,2,86,4,3,.,373,0.211683701,20.27734375,1,1,126,3,2,12/04/2035
-4164,.,.,22-Jun-20,0,SO,18,1,P,.,.,.,.,.,.,.,.,.,0.00151208,74.4375,.,0,.,5,-1,12/04/2035
4068,0,1,22-Jun-20,1640,SH,26,1,R,1,.,5,.,0,.,.,.,.,0,.,1,0,.,5,2,12/04/2035
3891,0,1,22-Jun-20,0,SF,18,1,P,.,.,.,.,.,7,.,.,.,0.126666164,55.8046875,.,0,.,5,-1,12/04/2035
3977,0,1,22-Jun-20,0,SA,19,1,P,1,.,5,1,1,.,2,.,.,0.10863255,69,1,1,0,3,2,12/04/2035
4139,0,1,22-Jun-20,0,SL,19,1,,1,1100,5,1,.,.,.,.,.,0.12504825,74.3125,1,1,873,3,-1,12/04/2035
4077,0,1,22-Jun-20,0,SO,22,1,R,.,1700,21,.,.,.,.,.,1924,0.083769534,22.765625,.,0,.,5,-1,12/04/2035
-3954,.,.,22-Jun-20,1,SO,20,0,P,.,.,29,2,0,.,2,.,.,0.390138399,61.984375,1,1,0,3,-1,12/04/2035
4115,0,1,22-Jun-20,0,SB,19,1,P,.,.,9,.,110,.,1,.,.,0.234265143,77.015625,.,0,.,5,-1,12/04/2035
3889,0,1,22-Jun-20,1,SL,19,1,P,.,.,.,.,.,.,.,.,.,0.124144373,49.7265625,.,0,.,5,-1,12/04/2035
4126,0,1,22-Jun-20,0,SD,26,1,,.,.,.,.,.,.,.,.,.,0.021550305,31.80078125,1,0,.,5,0,12/04/2035
-4340,.,.,23-Jun-20,0,SO,18,1,P,.,.,8,1,0,22,1,105,.,0,57.1796875,1,1,0,3,0,13/04/2035
4249,1,0,23-Jun-20,0,SB,20,3,P,.,.,22,2,.,19,2,105,.,0.048533561,82.859375,1,2,524,3,-1,13/04/2035
4232,1,0,23-Jun-20,0,SO,22,0,P,.,2800,11,1,37,23,4,77,436,0.123134614,75.296875,.,1,0,3,-1,13/04/2035
4336,1,0,23-Jun-20,0,SO,20,1,P,.,650,32,.,.,16,0,75,.,0.120516075,81.53125,.,0,.,5,-1,13/04/2035
4235,1,0,23-Jun-20,11,SO,20,1,P,.,1750,17,3,.,5,2,51,94,0,79.125,1,2,0,3,-1,13/04/2035
4373,1,0,23-Jun-20,20,SD,19,0,P,.,.,16,1,0,4,.,50,.,0,89.21875,.,1,0,3,-1,13/04/2035
-4431,.,.,23-Jun-20,0,SK,18,0,P,.,.,.,.,.,12,0,45,.,0,76.90625,.,0,.,5,-1,13/04/2035
-4225,.,.,23-Jun-20,0,SC,18,0,H,1,300,2,.,.,6,0,40,.,0.103057668,63.25,1,0,.,5,0,13/04/2035
4276,1,0,23-Jun-20,0,SC,18,1,P,.,.,.,.,.,22,0,43,.,0,95.71875,.,0,.,5,-1,13/04/2035
4387,1,0,23-Jun-20,0,SM,19,1,R,1,.,2,1,1,11,0,35,.,0.020291366,89.890625,1,1,0,3,1,13/04/2035
-4253,.,.,23-Jun-20,0,SO,18,1,P,.,.,59,1,.,25,0,32,.,0,82.734375,.,1,0,3,-1,13/04/2035
-4202,.,.,23-Jun-20,1,SF,18,1,P,.,.,25,2,.,15,0,30,.,0.085532214,59.2734375,1,2,0,3,-1,13/04/2035
4401,1,0,23-Jun-20,0,SA,19,1,P,1,.,1,.,29,25,2,26,.,0,59.3125,1,0,.,5,0,13/04/2035
-4250,.,.,23-Jun-20,0,SB,19,1,P,.,.,.,.,.,13,0,30,.,0.064875045,59.1015625,1,0,.,5,0,13/04/2035
4192,1,0,23-Jun-20,0,SD,18,0,P,1,.,5,2,25,7,0,27,.,0,42.359375,1,2,0,3,-1,13/04/2035
-4375,.,.,23-Jun-20,0,SL,18,1,P,.,.,28,1,.,9,.,28,.,0.10434446,67.125,.,1,0,3,-1,13/04/2035
-4306,.,.,23-Jun-20,0,SH,18,0,,.,.,.,.,.,21,0,24,.,0.220537699,75.734375,.,0,.,5,-1,13/04/2035
-4239,.,.,23-Jun-20,1,SO,17,0,P,.,.,.,.,.,24,0,24,.,0,63.4453125,.,0,.,5,-1,13/04/2035
-4390,.,.,23-Jun-20,0,SH,18,0,P,.,.,21,.,.,13,1,24,.,0,85.03125,.,0,.,5,-1,13/04/2035
4345,1,0,23-Jun-20,0,SM,18,1,P,.,.,.,.,.,6,0,24,.,0,75.234375,.,0,.,5,-1,13/04/2035
4246,1,0,23-Jun-20,280,SD,18,.,P,.,.,.,.,.,18,0,32,.,0.01344105,38.609375,.,0,.,5,-1,13/04/2035
4216,1,0,23-Jun-20,0,SM,18,1,P,1,250,1,.,.,22,0,38,31,0.042476073,50.15625,.,0,.,5,-1,13/04/2035
4182,1,0,23-Jun-20,0,SO,19,.,P,1,2150,2,1,0,6,2,23,0,0.102329342,77.734375,.,1,0,3,4,13/04/2035
4327,1,0,23-Jun-20,1,SO,19,1,P,.,.,9,2,.,16,0,21,.,0.21470221,73.203125,.,1,0,3,4,13/04/2035
4365,1,0,23-Jun-20,0,SF,18,1,P,.,.,.,.,.,21,0,19,.,0,89.0625,.,0,.,5,-1,13/04/2035
-4430,.,.,23-Jun-20,0,SO,18,0,P,.,.,41,1,.,24,0,51,.,0.066384927,70.53125,.,1,0,3,-1,13/04/2035
4381,1,0,23-Jun-20,0,SF,18,0,P,.,.,.,.,.,18,0,19,.,0.182721841,57.4453125,.,0,.,5,-1,13/04/2035
4268,1,0,23-Jun-20,1,SO,19,.,P,.,.,.,.,.,21,1,19,.,0,61.0703125,.,0,.,5,-1,13/04/2035
-4388,.,.,23-Jun-20,280,SM,18,1,P,1,550,2,.,.,27,0,82,.,0.154619706,32.7734375,1,0,.,5,1,13/04/2035
-4201,.,.,23-Jun-20,0,SA,18,1,P,.,.,.,.,.,9,0,19,.,0.618160149,65.203125,.,0,.,5,-1,13/04/2035
-4435,.,.,23-Jun-20,0,SO,18,1,P,1,250,5,2,.,20,0,19,.,0,47.9765625,1,2,0,3,0,13/04/2035
4300,1,0,23-Jun-20,1,SC,18,1,P,.,.,20,1,.,1,.,18,.,0,34.6484375,.,1,0,3,-1,13/04/2035
4191,1,0,23-Jun-20,1,SH,19,1,P,.,.,8,1,0,18,0,18,.,0.057547364,82.046875,.,0,.,5,-1,13/04/2035
4324,1,0,23-Jun-20,0,SE,18,1,P,.,.,.,.,.,19,2,16,.,0.262645129,61.578125,.,0,.,5,-1,13/04/2035
4301,1,0,23-Jun-20,0,SO,18,.,P,.,.,.,.,.,4,0,16,.,0.110560783,48.53125,.,0,.,5,-1,13/04/2035
-4170,.,.,23-Jun-20,0,SC,18,1,P,.,.,21,1,.,18,0,17,.,0,96.125,1,1,0,3,0,13/04/2035
4275,1,0,23-Jun-20,0,SE,18,0,,.,.,.,.,.,6,0,16,.,0.009036353,89.21875,.,0,.,5,-1,13/04/2035
4407,1,0,23-Jun-20,0,SB,18,1,P,.,.,20,.,.,8,.,15,.,0,93.40625,.,0,.,5,-1,13/04/2035
4416,1,0,23-Jun-20,0,SA,18,1,P,1,.,4,.,20,21,0,14,.,0.080332981,17.11328125,.,0,.,5,-1,13/04/2035
4333,1,0,23-Jun-20,0,SA,19,1,P,.,.,25,1,.,15,0,15,.,0.054552503,52.671875,.,1,0,3,-1,13/04/2035
4274,1,0,23-Jun-20,0,SE,18,1,P,.,.,17,1,.,2,0,14,.,0.053677974,38.765625,1,1,0,3,0,13/04/2035
4231,1,0,23-Jun-20,0,SO,18,1,P,.,.,.,.,.,19,.,12,.,0.111732946,54.8828125,.,0,.,5,-1,13/04/2035
4281,1,0,23-Jun-20,0,SC,19,1,P,1,1000,5,2,.,10,1,12,0,0.138912247,73.234375,1,2,0,3,3,13/04/2035
4295,1,0,23-Jun-20,1,SE,18,1,,.,.,.,.,.,17,0,12,.,0.28357364,56.140625,1,0,.,5,1,13/04/2035
4425,1,0,23-Jun-20,1,SO,18,1,P,.,.,.,.,.,18,0,11,.,0.083067229,69.40625,.,0,.,5,-1,13/04/2035
-4421,.,.,23-Jun-20,0,SO,18,1,P,.,.,.,.,.,18,0,12,.,0.050946049,74.21875,.,0,.,5,-1,13/04/2035
4363,1,0,23-Jun-20,1,SC,19,1,P,1,.,5,2,.,17,0,12,.,0.114355482,71.765625,1,2,0,3,2,13/04/2035
4210,1,0,23-Jun-20,0,SH,18,1,P,1,.,2,2,.,6,0,11,.,0.201650159,53.03125,1,2,0,3,-1,13/04/2035
4214,1,0,23-Jun-20,0,SO,18,0,P,.,.,.,.,.,1,0,11,.,0,82.484375,.,0,.,5,-1,13/04/2035
-4247,.,.,23-Jun-20,400,SC,18,1,P,1,.,2,1,183,16,0,12,.,0.181548996,75.15625,1,1,7,3,1,13/04/2035
4173,1,0,23-Jun-20,0,SD,18,0,P,1,.,4,1,.,14,0,10,.,0.051270891,54.5859375,.,1,0,3,-1,13/04/2035
